gamma=0.02eV,,gamma=0.1eV,,gamma=0.25eV,,gamma=0.5eV,,gamma=1.0eV,
X,Y,X,Y,X,Y,X,Y,X,Y
0,0.0009699321047522691,0,0.0009699321047522691,0.004056795131845842,0.010669253152278957,0.002028397565922921,0.06013579049466522,0.002028397565922921,0.5586808923375362
0.3752535496957403,0.0029097963142574734,0.5010141987829614,0.027158098933074637,0.25152129817444224,0.03200775945683776,0.24949290060851922,0.173617846750727,0.24949290060851922,0.9573229873908824
0.5010141987829614,0.0038797284190101866,0.7505070993914806,0.07856450048496577,0.5010141987829615,0.10184287099902989,0.4989858012170384,0.41416100872938855,0.30020283975659234,1.0009699321047525
0.6267748478701824,0.008729388942773753,0.9999999999999999,0.228903976721629,0.7505070993914806,0.26867119301648845,0.7505070993914806,0.856450048496605,0.3509127789046652,1.0009699321047525
0.7505070993914806,0.01939864209505293,1.2494929006085191,0.4966052376333654,0.9999999999999999,0.6139670223084381,0.8762677484787017,0.9999999999999999,0.5010141987829614,0.9999999999999999
0.8762677484787017,0.032007759456837315,1.4989858012170385,0.8525703200775944,1.2494929006085191,1.0009699321047525,0.9999999999999999,0.9999999999999999,0.8762677484787017,1.0009699321047525
1.2494929006085191,0.18913676042676975,1.6247464503042595,1.0009699321047525,1.5010141987829615,1.0009699321047525,1.2515212981744421,0.9999999999999999,0.9999999999999999,1.0009699321047525
1.7505070993914806,0.7672162948593596,1.7505070993914806,1.0009699321047525,1.6247464503042597,1.0009699321047525,1.5010141987829615,0.9999999999999999,1.2494929006085191,1.0009699321047525
1.8742393509127788,0.917555771096023,1.939148073022312,1.0009699321047525,1.7505070993914806,1.0009699321047525,1.6247464503042595,0.9999999999999999,1.5010141987829615,1.0009699321047525
1.9371196754563893,1.0009699321047525,2,1.0009699321047525,1.9371196754563893,0.9999999999999999,1.7505070993914806,0.9999999999999999,1.6247464503042597,1.0009699321047525
2,1.0009699321047525,2.5010141987829617,1.0009699321047525,2,0.9999999999999999,1.9391480730223125,1.0009699321047525,1.7505070993914806,1.0009699321047525
2.501014198782961,1.0009699321047525,2.997971602434076,0.9999999999999999,2.5010141987829617,0.9999999999999999,2.0000000000000004,0.9999999999999999,1.939148073022313,1.0009699321047525
2.9999999999999996,0.9999999999999999,,,2.9999999999999996,0.9999999999999999,2.5010141987829613,0.9999999999999999,2.0020283975659225,1.0009699321047525
,,,,,,2.9999999999999996,0.9999999999999999,2.5010141987829613,0.9999999999999999
,,,,,,,,2.9999999999999996,0.9999999999999999
